academic_strength,consistency,math_inclination,language_inclination,recommended_stream,counselling_reason
0.2833333333333333,1.0,0.72,0.73,Commerce,Moderate academics with good numerical and analytical skills
0.26666666666666666,1.0,0.69,0.89,Commerce,Moderate academics with good numerical and analytical skills
0.4166666666666667,0.25,0.9,0.94,Commerce,Moderate academics with good numerical and analytical skills
0.7333333333333333,1.0,0.47,0.505,Commerce,Moderate academics with good numerical and analytical skills
0.4333333333333333,1.0,0.76,0.765,Science,Strong academic performance with high mathematical ability
0.75,1.0,0.71,0.805,Science,Strong academic performance with high mathematical ability
0.5833333333333333,1.0,0.88,0.935,Science,Strong academic performance with high mathematical ability
0.2833333333333333,1.0,0.4,0.41,Arts,Better inclination towards language-based or creative subjects
0.8833333333333334,1.0,0.64,0.655,Science,Strong academic performance with high mathematical ability
0.7333333333333333,1.0,0.38,0.55,Commerce,Moderate academics with good numerical and analytical skills
0.45,1.0,0.58,0.53,Commerce,Moderate academics with good numerical and analytical skills
0.5666666666666667,1.0,0.4,0.475,Commerce,Moderate academics with good numerical and analytical skills
0.7,1.0,0.65,0.77,Science,Strong academic performance with high mathematical ability
0.5166666666666667,1.0,0.78,0.71,Science,Strong academic performance with high mathematical ability
0.7666666666666667,1.0,0.5,0.555,Commerce,Moderate academics with good numerical and analytical skills
0.7,1.0,0.69,0.765,Science,Strong academic performance with high mathematical ability
0.6833333333333333,1.0,0.88,0.875,Science,Strong academic performance with high mathematical ability
0.4666666666666667,1.0,0.18,0.3,Commerce,Moderate academics with good numerical and analytical skills
0.26666666666666666,0.25,0.46,0.44,Arts,Better inclination towards language-based or creative subjects
0.4666666666666667,1.0,0.54,0.595,Commerce,Moderate academics with good numerical and analytical skills
0.7,1.0,0.66,0.66,Science,Strong academic performance with high mathematical ability
0.7,1.0,0.65,0.725,Science,Strong academic performance with high mathematical ability
0.7666666666666667,1.0,0.44,0.535,Commerce,Moderate academics with good numerical and analytical skills
0.6333333333333333,1.0,0.69,0.73,Science,Strong academic performance with high mathematical ability
0.45,1.0,0.74,0.755,Commerce,Moderate academics with good numerical and analytical skills
0.38333333333333336,0.3333333333333333,0.73,0.73,Commerce,Moderate academics with good numerical and analytical skills
0.5833333333333333,1.0,0.69,0.545,Commerce,Moderate academics with good numerical and analytical skills
0.7666666666666667,1.0,0.67,0.72,Science,Strong academic performance with high mathematical ability
0.55,1.0,0.7,0.675,Commerce,Moderate academics with good numerical and analytical skills
0.55,1.0,0.62,0.725,Commerce,Moderate academics with good numerical and analytical skills
0.5333333333333333,1.0,0.69,0.74,Commerce,Moderate academics with good numerical and analytical skills
0.8333333333333334,1.0,0.63,0.63,Science,Strong academic performance with high mathematical ability
0.8166666666666667,1.0,0.56,0.685,Science,Strong academic performance with high mathematical ability
0.5,1.0,0.4,0.4,Commerce,Moderate academics with good numerical and analytical skills
0.6833333333333333,1.0,0.97,0.845,Science,Strong academic performance with high mathematical ability
0.35,1.0,0.81,0.8,Science,Strong academic performance with high mathematical ability
0.8166666666666667,1.0,0.74,0.82,Science,Strong academic performance with high mathematical ability
0.7666666666666667,1.0,0.5,0.615,Commerce,Moderate academics with good numerical and analytical skills
0.5833333333333333,1.0,0.75,0.89,Science,Strong academic performance with high mathematical ability
0.6666666666666667,1.0,0.57,0.565,Science,Strong academic performance with high mathematical ability
0.4666666666666667,0.5,0.55,0.575,Commerce,Moderate academics with good numerical and analytical skills
0.6,1.0,0.58,0.705,Science,Strong academic performance with high mathematical ability
0.9166666666666666,1.0,0.53,0.615,Commerce,Moderate academics with good numerical and analytical skills
0.45,1.0,0.59,0.655,Commerce,Moderate academics with good numerical and analytical skills
0.4833333333333333,0.5,0.5,0.55,Commerce,Moderate academics with good numerical and analytical skills
0.36666666666666664,1.0,0.65,0.555,Commerce,Moderate academics with good numerical and analytical skills
0.5666666666666667,1.0,0.55,0.635,Commerce,Moderate academics with good numerical and analytical skills
0.9666666666666666,1.0,0.66,0.735,Science,Strong academic performance with high mathematical ability
0.7333333333333333,1.0,0.57,0.75,Science,Strong academic performance with high mathematical ability
0.35,0.5,0.82,0.83,Commerce,Moderate academics with good numerical and analytical skills
0.6333333333333333,1.0,0.53,0.515,Commerce,Moderate academics with good numerical and analytical skills
0.6166666666666667,1.0,0.77,0.685,Science,Strong academic performance with high mathematical ability
0.5333333333333333,0.5,0.53,0.43,Commerce,Moderate academics with good numerical and analytical skills
0.4833333333333333,1.0,0.88,0.765,Science,Strong academic performance with high mathematical ability
0.6,1.0,0.71,0.855,Science,Strong academic performance with high mathematical ability
0.45,1.0,0.33,0.42,Commerce,Moderate academics with good numerical and analytical skills
0.7333333333333333,1.0,0.82,0.855,Science,Strong academic performance with high mathematical ability
0.7333333333333333,1.0,0.52,0.52,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,1.0,0.58,0.585,Commerce,Moderate academics with good numerical and analytical skills
0.7833333333333333,1.0,0.0,0.135,Commerce,Moderate academics with good numerical and analytical skills
0.5333333333333333,1.0,0.79,0.73,Science,Strong academic performance with high mathematical ability
0.4833333333333333,1.0,0.39,0.365,Commerce,Moderate academics with good numerical and analytical skills
0.45,1.0,0.62,0.58,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,1.0,0.69,0.755,Commerce,Moderate academics with good numerical and analytical skills
0.5,1.0,0.59,0.585,Commerce,Moderate academics with good numerical and analytical skills
0.7666666666666667,1.0,0.67,0.625,Science,Strong academic performance with high mathematical ability
0.6333333333333333,1.0,0.45,0.37,Commerce,Moderate academics with good numerical and analytical skills
0.33333333333333337,1.0,0.6,0.73,Commerce,Moderate academics with good numerical and analytical skills
0.4166666666666667,1.0,0.61,0.57,Commerce,Moderate academics with good numerical and analytical skills
0.8,1.0,0.39,0.605,Commerce,Moderate academics with good numerical and analytical skills
0.7166666666666667,1.0,0.58,0.68,Science,Strong academic performance with high mathematical ability
0.5,1.0,0.63,0.59,Commerce,Moderate academics with good numerical and analytical skills
0.31666666666666665,0.3333333333333333,0.41,0.495,Arts,Better inclination towards language-based or creative subjects
0.6333333333333333,1.0,0.61,0.565,Science,Strong academic performance with high mathematical ability
0.5666666666666667,1.0,0.49,0.45,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,1.0,0.44,0.395,Commerce,Moderate academics with good numerical and analytical skills
0.5333333333333333,1.0,0.3,0.24,Commerce,Moderate academics with good numerical and analytical skills
0.55,1.0,0.8,0.795,Science,Strong academic performance with high mathematical ability
0.4333333333333333,0.25,0.61,0.73,Commerce,Moderate academics with good numerical and analytical skills
0.25,1.0,0.62,0.68,Commerce,Moderate academics with good numerical and analytical skills
0.5666666666666667,1.0,0.47,0.495,Commerce,Moderate academics with good numerical and analytical skills
0.5333333333333333,1.0,0.49,0.45,Commerce,Moderate academics with good numerical and analytical skills
0.31666666666666665,1.0,0.5,0.505,Commerce,Moderate academics with good numerical and analytical skills
0.75,1.0,0.72,0.635,Science,Strong academic performance with high mathematical ability
0.4833333333333333,1.0,0.42,0.365,Commerce,Moderate academics with good numerical and analytical skills
0.4,0.3333333333333333,0.73,0.81,Commerce,Moderate academics with good numerical and analytical skills
0.35,1.0,0.76,0.855,Science,Strong academic performance with high mathematical ability
0.6833333333333333,1.0,0.71,0.725,Science,Strong academic performance with high mathematical ability
0.5166666666666667,0.5,0.58,0.685,Commerce,Moderate academics with good numerical and analytical skills
0.35,1.0,0.73,0.84,Commerce,Moderate academics with good numerical and analytical skills
0.36666666666666664,1.0,0.65,0.73,Commerce,Moderate academics with good numerical and analytical skills
0.85,1.0,0.27,0.35,Commerce,Moderate academics with good numerical and analytical skills
0.31666666666666665,1.0,0.71,0.75,Commerce,Moderate academics with good numerical and analytical skills
0.5166666666666667,1.0,0.43,0.475,Commerce,Moderate academics with good numerical and analytical skills
0.6333333333333333,1.0,0.79,0.89,Science,Strong academic performance with high mathematical ability
0.45,0.5,0.78,0.815,Commerce,Moderate academics with good numerical and analytical skills
0.6833333333333333,1.0,0.65,0.64,Science,Strong academic performance with high mathematical ability
0.45,1.0,0.63,0.71,Commerce,Moderate academics with good numerical and analytical skills
0.65,1.0,0.58,0.645,Science,Strong academic performance with high mathematical ability
0.4,1.0,0.65,0.645,Commerce,Moderate academics with good numerical and analytical skills
0.31666666666666665,1.0,0.79,0.67,Science,Strong academic performance with high mathematical ability
0.8333333333333334,1.0,0.68,0.74,Science,Strong academic performance with high mathematical ability
0.6166666666666667,1.0,0.85,0.9,Science,Strong academic performance with high mathematical ability
0.31666666666666665,1.0,0.6,0.455,Commerce,Moderate academics with good numerical and analytical skills
0.8666666666666666,1.0,0.98,0.88,Science,Strong academic performance with high mathematical ability
0.5333333333333333,1.0,0.58,0.695,Commerce,Moderate academics with good numerical and analytical skills
0.38333333333333336,1.0,0.87,1.0,Science,Strong academic performance with high mathematical ability
0.8666666666666666,1.0,0.66,0.635,Science,Strong academic performance with high mathematical ability
0.6,1.0,0.52,0.73,Commerce,Moderate academics with good numerical and analytical skills
